| model         |                test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |         ttfr (ms) |      est_ppt (ms) |     e2e_ttft (ms) |
|:--------------|--------------------:|----------------:|-----------------:|--------------:|-----------------:|------------------:|------------------:|------------------:|
| glm-5.3-flash |         pp2048 (c1) | 1490.19 ± 56.13 |  1490.19 ± 56.13 |               |                  |   1378.80 ± 50.50 |   1376.23 ± 50.50 |   1378.80 ± 50.50 |
| glm-5.3-flash |          tg128 (c1) |    25.30 ± 5.12 |     25.30 ± 5.12 |  26.00 ± 4.97 |     26.00 ± 4.97 |                   |                   |                   |
| glm-5.3-flash |         pp2048 (c2) | 1601.48 ± 87.09 |  939.03 ± 281.67 |               |                  |  2322.17 ± 465.65 |  2319.59 ± 465.65 |  2322.17 ± 465.65 |
| glm-5.3-flash |          tg128 (c2) |    25.72 ± 5.75 |     17.48 ± 9.01 | 36.00 ± 13.44 |     18.00 ± 9.11 |                   |                   |                   |
| glm-5.3-flash | ctx_pp @ d4096 (c1) | 1664.65 ± 32.09 |  1664.65 ± 32.09 |               |                  |   2464.68 ± 48.12 |   2462.10 ± 48.12 |   2503.27 ± 51.57 |
| glm-5.3-flash | ctx_tg @ d4096 (c1) |    21.63 ± 3.30 |     21.63 ± 3.30 |  22.33 ± 3.30 |     22.33 ± 3.30 |                   |                   |                   |
| glm-5.3-flash | pp2048 @ d4096 (c1) |   519.07 ± 6.76 |    519.07 ± 6.76 |               |                  |   3948.77 ± 50.91 |   3946.19 ± 50.91 |   3948.77 ± 50.91 |
| glm-5.3-flash |  tg128 @ d4096 (c1) |    22.95 ± 5.42 |     22.95 ± 5.42 |  23.33 ± 5.25 |     23.33 ± 5.25 |                   |                   |                   |
| glm-5.3-flash | ctx_pp @ d4096 (c2) |  1639.85 ± 8.67 | 1062.51 ± 308.84 |               |                  |  4131.27 ± 961.39 |  4128.69 ± 961.39 |  4131.27 ± 961.39 |
| glm-5.3-flash | ctx_tg @ d4096 (c2) |    23.96 ± 5.72 |    18.58 ± 10.27 |  38.00 ± 9.63 |    19.00 ± 10.42 |                   |                   |                   |
| glm-5.3-flash | pp2048 @ d4096 (c2) |  553.22 ± 21.62 |   321.14 ± 92.87 |               |                  | 6756.14 ± 1306.09 | 6753.56 ± 1306.09 | 6756.14 ± 1306.09 |
| glm-5.3-flash |  tg128 @ d4096 (c2) |    25.77 ± 4.81 |     17.33 ± 2.23 |  34.33 ± 3.09 |     18.16 ± 2.04 |                   |                   |                   |
