| model         |                test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |         ttfr (ms) |      est_ppt (ms) |      e2e_ttft (ms) |
|:--------------|--------------------:|-----------------:|-----------------:|--------------:|-----------------:|------------------:|------------------:|-------------------:|
| glm-5.3-flash |         pp2048 (c1) |   1560.81 ± 0.78 |   1560.81 ± 0.78 |               |                  |    1314.17 ± 0.66 |    1312.14 ± 0.66 |     1314.17 ± 0.66 |
| glm-5.3-flash |          tg128 (c1) |     20.68 ± 1.94 |     20.68 ± 1.94 |  21.33 ± 2.05 |     21.33 ± 2.05 |                   |                   |                    |
| glm-5.3-flash |         pp2048 (c2) |  1425.76 ± 64.56 | 1134.64 ± 421.84 |               |                  |  2098.57 ± 786.01 |  2096.54 ± 786.01 |   2098.57 ± 786.01 |
| glm-5.3-flash |          tg128 (c2) |     16.95 ± 1.09 |     11.57 ± 3.26 |  24.33 ± 2.05 |     12.17 ± 3.08 |                   |                   |                    |
| glm-5.3-flash | ctx_pp @ d4096 (c1) |   1617.96 ± 1.91 |   1617.96 ± 1.91 |               |                  |    2534.24 ± 2.99 |    2532.21 ± 2.99 |     2534.24 ± 2.99 |
| glm-5.3-flash | ctx_tg @ d4096 (c1) |    28.91 ± 11.33 |    28.91 ± 11.33 | 29.33 ± 11.15 |    29.33 ± 11.15 |                   |                   |                    |
| glm-5.3-flash | pp2048 @ d4096 (c1) |    517.80 ± 7.41 |    517.80 ± 7.41 |               |                  |   3958.04 ± 56.14 |   3956.01 ± 56.14 |    3958.04 ± 56.14 |
| glm-5.3-flash |  tg128 @ d4096 (c1) |     19.89 ± 4.69 |     19.89 ± 4.69 |  20.33 ± 4.64 |     20.33 ± 4.64 |                   |                   |                    |
| glm-5.3-flash | ctx_pp @ d4096 (c2) | 1393.12 ± 352.46 | 1098.42 ± 462.03 |               |                  | 4609.08 ± 2288.17 | 4607.06 ± 2288.17 |  4609.08 ± 2288.17 |
| glm-5.3-flash | ctx_tg @ d4096 (c2) |     22.20 ± 5.14 |     16.25 ± 5.85 | 33.67 ± 10.14 |     16.83 ± 5.81 |                   |                   |                    |
| glm-5.3-flash | pp2048 @ d4096 (c2) |   528.89 ± 32.99 |  357.09 ± 121.59 |               |                  | 6337.81 ± 1771.39 | 6335.78 ± 1771.39 |  6373.79 ± 1808.88 |
| glm-5.3-flash |  tg128 @ d4096 (c2) |     23.63 ± 3.74 |     15.09 ± 3.86 |  31.33 ± 4.50 |     15.67 ± 3.77 |                   |                   |                    |
| glm-5.3-flash | ctx_pp @ d8192 (c1) |  1625.32 ± 15.07 |  1625.32 ± 15.07 |               |                  |   5043.33 ± 47.05 |   5041.30 ± 47.05 |    5043.33 ± 47.05 |
| glm-5.3-flash | ctx_tg @ d8192 (c1) |    30.21 ± 10.23 |    30.21 ± 10.23 | 30.67 ± 10.21 |    30.67 ± 10.21 |                   |                   |                    |
| glm-5.3-flash | pp2048 @ d8192 (c1) |    332.25 ± 0.38 |    332.25 ± 0.38 |               |                  |    6165.98 ± 7.06 |    6163.96 ± 7.06 |     6165.98 ± 7.06 |
| glm-5.3-flash |  tg128 @ d8192 (c1) |     18.57 ± 2.88 |     18.57 ± 2.88 |  18.67 ± 2.87 |     18.67 ± 2.87 |                   |                   |                    |
| glm-5.3-flash | ctx_pp @ d8192 (c2) |   1682.42 ± 1.04 |  972.67 ± 131.29 |               |                  | 8581.52 ± 1158.03 | 8579.50 ± 1158.03 |  8581.52 ± 1158.03 |
| glm-5.3-flash | ctx_tg @ d8192 (c2) |     18.26 ± 1.29 |     12.03 ± 2.56 |  25.00 ± 0.82 |     12.50 ± 2.36 |                   |                   |                    |
| glm-5.3-flash | pp2048 @ d8192 (c2) |    334.19 ± 0.78 |   236.43 ± 76.61 |               |                  | 9566.23 ± 2813.03 | 9564.21 ± 2813.03 | 10233.92 ± 2335.32 |
| glm-5.3-flash |  tg128 @ d8192 (c2) |     19.20 ± 3.32 |     12.02 ± 2.38 |  24.67 ± 2.49 |     12.33 ± 2.13 |                   |                   |                    |
