| model         |                test |      t/s (total) |        t/s (req) |     peak t/s |   peak t/s (req) |         ttfr (ms) |      est_ppt (ms) |     e2e_ttft (ms) |
|:--------------|--------------------:|-----------------:|-----------------:|-------------:|-----------------:|------------------:|------------------:|------------------:|
| glm-5.3-flash |         pp2048 (c1) | 1267.59 ± 101.40 | 1267.59 ± 101.40 |              |                  |  1629.07 ± 137.83 |  1626.69 ± 137.83 |  1629.07 ± 137.83 |
| glm-5.3-flash |          tg128 (c1) |     25.18 ± 1.59 |     25.18 ± 1.59 | 25.67 ± 1.70 |     25.67 ± 1.70 |                   |                   |                   |
| glm-5.3-flash |         pp2048 (c2) |   1278.75 ± 9.84 | 1021.82 ± 382.25 |              |                  |  2332.42 ± 871.07 |  2330.04 ± 871.07 |  2332.42 ± 871.07 |
| glm-5.3-flash |          tg128 (c2) |     30.58 ± 0.68 |     18.29 ± 2.77 | 37.67 ± 1.25 |     18.83 ± 2.79 |                   |                   |                   |
| glm-5.3-flash | ctx_pp @ d4096 (c1) |  1288.02 ± 15.32 |  1288.02 ± 15.32 |              |                  |   3183.68 ± 37.54 |   3181.29 ± 37.54 |   3183.68 ± 37.54 |
| glm-5.3-flash | ctx_tg @ d4096 (c1) |     24.23 ± 2.15 |     24.23 ± 2.15 | 24.67 ± 2.05 |     24.67 ± 2.05 |                   |                   |                   |
| glm-5.3-flash | pp2048 @ d4096 (c1) |    444.62 ± 0.98 |    444.62 ± 0.98 |              |                  |   4608.62 ± 10.14 |   4606.23 ± 10.14 |   4608.62 ± 10.14 |
| glm-5.3-flash |  tg128 @ d4096 (c1) |     25.47 ± 2.84 |     25.47 ± 2.84 | 26.00 ± 2.94 |     26.00 ± 2.94 |                   |                   |                   |
| glm-5.3-flash | ctx_pp @ d4096 (c2) |   1340.24 ± 3.61 |  862.47 ± 192.10 |              |                  | 5000.62 ± 1113.22 | 4998.23 ± 1113.22 | 5000.62 ± 1113.22 |
| glm-5.3-flash | ctx_tg @ d4096 (c2) |     28.44 ± 0.19 |     16.94 ± 2.17 | 35.00 ± 0.00 |     17.50 ± 2.22 |                   |                   |                   |
| glm-5.3-flash | pp2048 @ d4096 (c2) |    459.62 ± 0.71 |   304.62 ± 75.28 |              |                  | 7159.22 ± 1757.18 | 7156.83 ± 1757.18 | 7159.22 ± 1757.18 |
| glm-5.3-flash |  tg128 @ d4096 (c2) |     26.26 ± 1.14 |     18.05 ± 4.03 | 37.33 ± 1.70 |     18.67 ± 3.90 |                   |                   |                   |
| glm-5.3-flash | ctx_pp @ d8192 (c1) |   1375.01 ± 5.59 |   1375.01 ± 5.59 |              |                  |   5961.01 ± 24.15 |   5958.62 ± 24.15 |   5961.01 ± 24.15 |
| glm-5.3-flash | ctx_tg @ d8192 (c1) |     24.39 ± 1.41 |     24.39 ± 1.41 | 25.00 ± 1.41 |     25.00 ± 1.41 |                   |                   |                   |
| glm-5.3-flash | pp2048 @ d8192 (c1) |    424.06 ± 4.94 |    424.06 ± 4.94 |              |                  |   4832.57 ± 55.90 |   4830.18 ± 55.90 |   4832.57 ± 55.90 |
| glm-5.3-flash |  tg128 @ d8192 (c1) |     24.48 ± 0.38 |     24.48 ± 0.38 | 25.33 ± 0.47 |     25.33 ± 0.47 |                   |                   |                   |
| glm-5.3-flash | ctx_pp @ d8192 (c2) |   1399.76 ± 4.63 |  954.38 ± 255.26 |              |                  | 9245.62 ± 2463.86 | 9243.23 ± 2463.86 | 9245.62 ± 2463.86 |
| glm-5.3-flash | ctx_tg @ d8192 (c2) |     20.75 ± 0.41 |     14.19 ± 3.22 | 29.33 ± 0.94 |     14.67 ± 3.40 |                   |                   |                   |
| glm-5.3-flash | pp2048 @ d8192 (c2) |    428.12 ± 1.23 |   292.74 ± 79.10 |              |                  | 7545.14 ± 2026.14 | 7542.75 ± 2026.14 | 7545.14 ± 2026.14 |
| glm-5.3-flash |  tg128 @ d8192 (c2) |     23.68 ± 0.99 |     16.55 ± 3.39 | 34.33 ± 1.25 |     17.17 ± 3.48 |                   |                   |                   |
